name,variant,category,x,y
Roboto 100,100,sans-serif,-9.670598,9.923122
Roboto 100italic,100italic,sans-serif,-8.507562,12.418651
Roboto 300,300,sans-serif,-6.69091,10.941548
Roboto 300italic,300italic,sans-serif,-6.781045,13.36609
Roboto regular,regular,sans-serif,-3.883506,13.079189
Roboto italic,italic,sans-serif,-5.1797175,15.013569
Roboto 500,500,sans-serif,-0.7655548,11.45847
Roboto 500italic,500italic,sans-serif,-4.2374372,16.213985
Roboto 700,700,sans-serif,0.13495319,10.368803
Roboto 700italic,700italic,sans-serif,-3.4076755,16.701866
Roboto 900,900,sans-serif,0.7585156,9.690965
Roboto 900italic,900italic,sans-serif,-3.113278,17.026909
Open Sans 300,300,sans-serif,-7.5470815,9.349147
Open Sans 300italic,300italic,sans-serif,-7.0383377,12.779268
Open Sans regular,regular,sans-serif,-4.7586975,11.127105
Open Sans italic,italic,sans-serif,-5.706879,14.8678055
Open Sans 600,600,sans-serif,-2.4577987,11.39396
Open Sans 600italic,600italic,sans-serif,-4.2783833,15.653708
Open Sans 700,700,sans-serif,-0.22350936,10.943454
Open Sans 700italic,700italic,sans-serif,-3.9078138,16.487045
Open Sans 800,800,sans-serif,1.1453797,10.681578
Open Sans 800italic,800italic,sans-serif,-3.834777,17.414701
Lato 100,100,sans-serif,-9.660018,10.653441
Lato 100italic,100italic,sans-serif,-8.892386,11.845199
Lato 300,300,sans-serif,-7.6494737,9.130798
Lato 300italic,300italic,sans-serif,-7.1145725,13.009555
Lato regular,regular,sans-serif,-3.3610237,10.32481
Lato italic,italic,sans-serif,-4.6213007,14.664327
Lato 700,700,sans-serif,-0.53046656,9.792219
Lato 700italic,700italic,sans-serif,-3.5855453,15.965905
Lato 900,900,sans-serif,0.4512962,9.41501
Lato 900italic,900italic,sans-serif,-3.160553,16.841541
Slabo 27px regular,regular,serif,1.8418535,0.86248344
Roboto Condensed 300,300,sans-serif,-5.4987974,10.601718
Roboto Condensed 300italic,300italic,sans-serif,-5.155425,13.659587
Roboto Condensed regular,regular,sans-serif,-1.6762561,8.909481
Roboto Condensed italic,italic,sans-serif,-2.8632925,15.531304
Roboto Condensed 700,700,sans-serif,0.043612625,8.358149
Roboto Condensed 700italic,700italic,sans-serif,-2.3781648,16.376852
Oswald 200,200,sans-serif,-4.8355618,9.343864
Oswald 300,300,sans-serif,-1.4264741,8.305248
Oswald regular,regular,sans-serif,0.054871146,7.7498097
Oswald 500,500,sans-serif,0.43146533,7.738208
Oswald 600,600,sans-serif,0.5946123,7.715561
Oswald 700,700,sans-serif,0.6846439,7.976317
Source Sans Pro 200,200,sans-serif,-9.151974,9.688223
Source Sans Pro 200italic,200italic,sans-serif,-8.228992,12.491692
Source Sans Pro 300,300,sans-serif,-7.5873685,9.273715
Source Sans Pro 300italic,300italic,sans-serif,-7.330651,12.787414
Source Sans Pro regular,regular,sans-serif,-3.974854,10.795963
Source Sans Pro italic,italic,sans-serif,-5.9677815,14.507157
Source Sans Pro 600,600,sans-serif,-1.1534851,10.1435175
Source Sans Pro 600italic,600italic,sans-serif,-4.674599,15.792068
Source Sans Pro 700,700,sans-serif,0.14010215,9.631412
Source Sans Pro 700italic,700italic,sans-serif,-3.8990998,16.548008
Source Sans Pro 900,900,sans-serif,1.1266474,9.843752
Source Sans Pro 900italic,900italic,sans-serif,-3.7931569,17.304022
Montserrat 100,100,sans-serif,-9.56204,10.672936
Montserrat 100italic,100italic,sans-serif,-8.936747,12.430346
Montserrat 200,200,sans-serif,-8.124072,10.724423
Montserrat 200italic,200italic,sans-serif,-8.218005,13.175373
Montserrat 300,300,sans-serif,-6.6924047,10.506041
Montserrat 300italic,300italic,sans-serif,-7.833973,13.87508
Montserrat regular,regular,sans-serif,-5.1109767,11.590653
Montserrat italic,italic,sans-serif,-7.325678,14.834988
Montserrat 500,500,sans-serif,-0.37024167,12.858955
Montserrat 500italic,500italic,sans-serif,-6.9256306,16.646584
Montserrat 600,600,sans-serif,0.9036614,12.785672
Montserrat 600italic,600italic,sans-serif,-6.7167287,17.210955
Montserrat 700,700,sans-serif,1.4528967,12.354962
Montserrat 700italic,700italic,sans-serif,-6.2527895,17.685957
Montserrat 800,800,sans-serif,2.0984592,11.912005
Montserrat 800italic,800italic,sans-serif,-5.682298,18.048601
Montserrat 900,900,sans-serif,2.4114254,11.416768
Montserrat 900italic,900italic,sans-serif,-5.309492,18.08238
Raleway 100,100,sans-serif,-10.073376,10.417379
Raleway 100italic,100italic,sans-serif,-8.836026,12.473426
Raleway 200,200,sans-serif,-9.077682,10.546945
Raleway 200italic,200italic,sans-serif,-8.419079,12.840911
Raleway 300,300,sans-serif,-7.553666,10.870937
Raleway 300italic,300italic,sans-serif,-7.8961825,13.297241
Raleway regular,regular,sans-serif,-6.6193995,11.314177
Raleway italic,italic,sans-serif,-7.2351594,13.981884
Raleway 500,500,sans-serif,-5.593692,11.859929
Raleway 500italic,500italic,sans-serif,-6.773163,14.798903
Raleway 600,600,sans-serif,-3.7336974,12.487443
Raleway 600italic,600italic,sans-serif,-6.2652254,15.656174
Raleway 700,700,sans-serif,-0.68872046,12.651568
Raleway 700italic,700italic,sans-serif,-5.969855,16.492653
Raleway 800,800,sans-serif,0.6061096,12.404846
Raleway 800italic,800italic,sans-serif,-5.5185385,17.39908
Raleway 900,900,sans-serif,1.3278142,11.929968
Raleway 900italic,900italic,sans-serif,-5.58102,17.804676
PT Sans regular,regular,sans-serif,-3.3857377,11.731976
PT Sans italic,italic,sans-serif,-5.076925,14.404739
PT Sans 700,700,sans-serif,-0.37175596,10.199586
PT Sans 700italic,700italic,sans-serif,-3.249395,16.367363
Merriweather 300,300,serif,3.408111,1.1802479
Merriweather 300italic,300italic,serif,-2.614864,3.4769661
Merriweather regular,regular,serif,1.2963284,0.9944335
Merriweather italic,italic,serif,-2.7108064,3.9394448
Merriweather 700,700,serif,-1.4426587,1.2297144
Merriweather 700italic,700italic,serif,-2.5630238,4.1786757
Merriweather 900,900,serif,-1.885945,1.7261374
Merriweather 900italic,900italic,serif,-2.651033,4.2542396
Roboto Slab 100,100,serif,4.805538,1.5372818
Roboto Slab 300,300,serif,3.8607461,2.7110453
Roboto Slab regular,regular,serif,1.0856504,1.7264274
Roboto Slab 700,700,serif,-1.9167682,1.4046751
Open Sans Condensed 300,300,sans-serif,-5.1967,9.409571
Open Sans Condensed 300italic,300italic,sans-serif,-4.81535,8.995166
Open Sans Condensed 700,700,sans-serif,-0.075262435,8.096752
Lora regular,regular,serif,2.8083177,0.5526027
Lora italic,italic,serif,-2.7108088,4.108236
Lora 700,700,serif,-1.487106,0.81624
Lora 700italic,700italic,serif,-2.4961429,4.2165594
