name,variant,category,x,y
Roboto 100,100,sans-serif,1.7724253,15.378939
Roboto 100italic,100italic,sans-serif,0.307422,15.048874
Roboto 300,300,sans-serif,0.89851904,16.799948
Roboto 300italic,300italic,sans-serif,-1.5895641,15.368011
Roboto regular,regular,sans-serif,-0.6845439,18.907328
Roboto italic,italic,sans-serif,-6.2300744,16.07692
Roboto 500,500,sans-serif,-3.1906445,20.155762
Roboto 500italic,500italic,sans-serif,-7.0782847,16.412916
Roboto 700,700,sans-serif,-4.7971053,20.215738
Roboto 700italic,700italic,sans-serif,-7.8972917,16.987164
Roboto 900,900,sans-serif,-5.670789,20.347332
Roboto 900italic,900italic,sans-serif,-8.020256,17.171211
Open Sans 300,300,sans-serif,1.2813452,16.515211
Open Sans 300italic,300italic,sans-serif,-1.1236861,15.18412
Open Sans regular,regular,sans-serif,0.041358553,18.480394
Open Sans italic,italic,sans-serif,-5.525347,15.854579
Open Sans 600,600,sans-serif,-2.1684902,19.402693
Open Sans 600italic,600italic,sans-serif,-6.8258433,16.41057
Open Sans 700,700,sans-serif,-4.309784,20.251003
Open Sans 700italic,700italic,sans-serif,-7.707316,16.571169
Open Sans 800,800,sans-serif,-5.2774167,20.66488
Open Sans 800italic,800italic,sans-serif,-8.37917,17.095871
Lato 100,100,sans-serif,1.6337098,14.968601
Lato 100italic,100italic,sans-serif,0.74514836,15.272554
Lato 300,300,sans-serif,1.8052673,16.519562
Lato 300italic,300italic,sans-serif,-0.76336926,15.438161
Lato regular,regular,sans-serif,-1.4767722,19.537905
Lato italic,italic,sans-serif,-5.9035916,16.28711
Lato 700,700,sans-serif,-4.566377,19.609547
Lato 700italic,700italic,sans-serif,-7.107196,16.910002
Lato 900,900,sans-serif,-5.646208,20.061373
Lato 900italic,900italic,sans-serif,-7.498781,17.37077
Slabo 27px regular,regular,serif,-0.94332564,10.667279
Roboto Condensed 300,300,sans-serif,0.25154883,17.955019
Roboto Condensed 300italic,300italic,sans-serif,-4.938662,16.546015
Roboto Condensed regular,regular,sans-serif,-4.9108825,19.095934
Roboto Condensed italic,italic,sans-serif,-7.050054,17.613598
Roboto Condensed 700,700,sans-serif,-6.5694265,19.272194
Roboto Condensed 700italic,700italic,sans-serif,-7.949011,17.936178
Oswald 200,200,sans-serif,-0.72044146,17.519676
Oswald 300,300,sans-serif,-5.5406923,18.802055
Oswald regular,regular,sans-serif,-6.5450916,18.937466
Oswald 500,500,sans-serif,-6.837175,19.149754
Oswald 600,600,sans-serif,-6.871313,19.310064
Oswald 700,700,sans-serif,-6.5695724,19.648739
Source Sans Pro 200,200,sans-serif,1.7288052,15.744673
Source Sans Pro 200italic,200italic,sans-serif,-0.3562774,15.001328
Source Sans Pro 300,300,sans-serif,1.6161689,16.619337
