name,variant,category,x,y
Roboto 100,100,sans-serif,6.638352,23.030695
Roboto 100italic,100italic,sans-serif,20.841215,17.284277
Roboto 300,300,sans-serif,15.557081,0.5395925
Roboto 300italic,300italic,sans-serif,9.944807,24.284622
Roboto regular,regular,sans-serif,14.941562,13.5751095
Roboto italic,italic,sans-serif,11.369966,-9.54395
Roboto 500,500,sans-serif,20.869774,0.37905854
Roboto 500italic,500italic,sans-serif,-16.770767,-1.0989156
Roboto 700,700,sans-serif,5.0231695,16.270777
Roboto 700italic,700italic,sans-serif,-17.0182,-0.8888643
Roboto 900,900,sans-serif,1.5498303,4.5680585
Roboto 900italic,900italic,sans-serif,-16.934021,-0.9343506
Open Sans 300,300,sans-serif,5.0671873,-6.328717
Open Sans 300italic,300italic,sans-serif,-4.867849,-9.87578
Open Sans regular,regular,sans-serif,18.182913,3.7758548
Open Sans italic,italic,sans-serif,11.491827,-9.655946
Open Sans 600,600,sans-serif,-10.515937,4.439067
Open Sans 600italic,600italic,sans-serif,8.618926,16.640802
Open Sans 700,700,sans-serif,-5.587705,-7.6150427
Open Sans 700italic,700italic,sans-serif,8.629201,17.008532
Open Sans 800,800,sans-serif,-14.110236,4.1157045
Open Sans 800italic,800italic,sans-serif,8.77885,17.560581
Lato 100,100,sans-serif,23.379696,12.968229
Lato 100italic,100italic,sans-serif,5.9601636,1.0814716
Lato 300,300,sans-serif,6.317982,7.1088395
Lato 300italic,300italic,sans-serif,-4.213789,-10.415104
Lato regular,regular,sans-serif,17.811821,-0.48602834
Lato italic,italic,sans-serif,2.623682,14.173048
Lato 700,700,sans-serif,-1.6529689,-0.6494876
Lato 700italic,700italic,sans-serif,7.9780684,14.499024
Lato 900,900,sans-serif,-1.5442462,-0.77481675
Lato 900italic,900italic,sans-serif,8.15624,14.356125
Slabo 27px regular,regular,serif,-2.9875655,7.0694513
Roboto Condensed 300,300,sans-serif,17.66722,10.607105
Roboto Condensed 300italic,300italic,sans-serif,-9.601267,2.14632
Roboto Condensed regular,regular,sans-serif,-14.361372,9.031153
Roboto Condensed italic,italic,sans-serif,12.583386,12.048054
Roboto Condensed 700,700,sans-serif,9.73473,-7.0220294
Roboto Condensed 700italic,700italic,sans-serif,14.64262,2.7426383
Oswald 200,200,sans-serif,7.097582,0.3987268
Oswald 300,300,sans-serif,-5.0644813,11.927576
Oswald regular,regular,sans-serif,19.268908,11.955306
Oswald 500,500,sans-serif,19.495491,11.990406
Oswald 600,600,sans-serif,19.762535,11.939441
Oswald 700,700,sans-serif,19.913187,11.884839
Source Sans Pro 200,200,sans-serif,24.258842,-0.6554798
Source Sans Pro 200italic,200italic,sans-serif,-4.649401,-10.342749
Source Sans Pro 300,300,sans-serif,6.938135,6.7637606
Source Sans Pro 300italic,300italic,sans-serif,-4.510474,-10.1371
Source Sans Pro regular,regular,sans-serif,-5.608153,-1.3324001
Source Sans Pro italic,italic,sans-serif,11.672677,-9.909931
Source Sans Pro 600,600,sans-serif,18.682783,17.227064
Source Sans Pro 600italic,600italic,sans-serif,5.865227,-1.9043179
Source Sans Pro 700,700,sans-serif,-2.0292087,-4.438173
Source Sans Pro 700italic,700italic,sans-serif,8.658032,17.36601
Source Sans Pro 900,900,sans-serif,11.183012,18.99915
Source Sans Pro 900italic,900italic,sans-serif,8.518642,17.65115
Montserrat 100,100,sans-serif,15.915767,-1.9311861
Montserrat 100italic,100italic,sans-serif,1.173621,3.8268828
Montserrat 200,200,sans-serif,3.943502,-0.64282006
Montserrat 200italic,200italic,sans-serif,13.689696,15.989414
Montserrat 300,300,sans-serif,5.739838,11.264578
Montserrat 300italic,300italic,sans-serif,7.708984,5.0127482
Montserrat regular,regular,sans-serif,3.2020345,-2.50326
Montserrat italic,italic,sans-serif,-11.138746,1.5316463
Montserrat 500,500,sans-serif,3.2937496,-1.5379193
Montserrat 500italic,500italic,sans-serif,10.986456,20.54276
Montserrat 600,600,sans-serif,20.492346,6.8111014
Montserrat 600italic,600italic,sans-serif,10.945275,21.316849
Montserrat 700,700,sans-serif,20.398499,6.976678
Montserrat 700italic,700italic,sans-serif,10.644517,21.354761
Montserrat 800,800,sans-serif,20.101444,6.557401
Montserrat 800italic,800italic,sans-serif,15.561689,-10.673204
Montserrat 900,900,sans-serif,15.454429,15.047332
Montserrat 900italic,900italic,sans-serif,15.563778,-10.59232
Raleway 100,100,sans-serif,15.696645,-2.5259264
Raleway 100italic,100italic,sans-serif,-0.18274063,2.214462
Raleway 200,200,sans-serif,21.845827,5.330432
Raleway 200italic,200italic,sans-serif,-0.074212566,2.2471106
