name,variant,category,x,y
Roboto 100,100,sans-serif,-8.5345745,16.53244
Roboto 100italic,100italic,sans-serif,-8.494448,14.908481
Roboto 300,300,sans-serif,-10.580111,16.119177
Roboto 300italic,300italic,sans-serif,-9.820168,12.829536
Roboto regular,regular,sans-serif,-13.477149,14.775973
Roboto italic,italic,sans-serif,-11.764476,8.548993
Roboto 500,500,sans-serif,-14.432319,12.411823
Roboto 500italic,500italic,sans-serif,-12.399864,7.200239
Roboto 700,700,sans-serif,-15.193327,11.1113205
Roboto 700italic,700italic,sans-serif,-12.910527,6.634525
Roboto 900,900,sans-serif,-15.998637,10.153168
Roboto 900italic,900italic,sans-serif,-13.410018,6.4827952
Open Sans 300,300,sans-serif,-9.920502,16.582077
Open Sans 300italic,300italic,sans-serif,-9.181939,13.279808
Open Sans regular,regular,sans-serif,-12.407059,15.620795
Open Sans italic,italic,sans-serif,-11.068191,9.077555
Open Sans 600,600,sans-serif,-14.194083,13.795083
Open Sans 600italic,600italic,sans-serif,-11.862201,7.0912223
Open Sans 700,700,sans-serif,-15.349408,11.737609
Open Sans 700italic,700italic,sans-serif,-12.522322,6.6457872
Open Sans 800,800,sans-serif,-16.103083,10.64678
Open Sans 800italic,800italic,sans-serif,-13.209565,6.453756
Lato 100,100,sans-serif,-8.098392,16.558832
Lato 100italic,100italic,sans-serif,-8.316411,15.535263
Lato 300,300,sans-serif,-9.715266,17.138039
Lato 300italic,300italic,sans-serif,-9.171823,13.542222
Lato regular,regular,sans-serif,-14.177242,15.1213
Lato italic,italic,sans-serif,-11.553755,8.2960005
Lato 700,700,sans-serif,-15.410973,11.370449
Lato 700italic,700italic,sans-serif,-13.024205,7.616058
Lato 900,900,sans-serif,-15.738057,10.093354
Lato 900italic,900italic,sans-serif,-13.782494,7.2205796
Slabo 27px regular,regular,serif,-4.240094,12.896188
Roboto Condensed 300,300,sans-serif,-11.562584,15.862104
Roboto Condensed 300italic,300italic,sans-serif,-11.669347,9.512758
Roboto Condensed regular,regular,sans-serif,-14.036658,10.636106
Roboto Condensed italic,italic,sans-serif,-13.152301,7.931226
Roboto Condensed 700,700,sans-serif,-14.9497,8.887117
Roboto Condensed 700italic,700italic,sans-serif,-14.2502365,6.8554068
Oswald 200,200,sans-serif,-11.567792,14.092471
Oswald 300,300,sans-serif,-14.073151,9.809101
Oswald regular,regular,sans-serif,-14.914571,8.7251835
Oswald 500,500,sans-serif,-15.171016,8.440023
Oswald 600,600,sans-serif,-15.431474,8.616845
Oswald 700,700,sans-serif,-15.547765,8.907974
Source Sans Pro 200,200,sans-serif,-9.083645,16.989801
Source Sans Pro 200italic,200italic,sans-serif,-8.458046,14.238834
Source Sans Pro 300,300,sans-serif,-9.832642,16.777742
Source Sans Pro 300italic,300italic,sans-serif,-8.905118,13.435426
Source Sans Pro regular,regular,sans-serif,-12.781279,15.241022
Source Sans Pro italic,italic,sans-serif,-10.967874,9.348464
Source Sans Pro 600,600,sans-serif,-14.947761,11.937954
Source Sans Pro 600italic,600italic,sans-serif,-11.5873165,7.521478
Source Sans Pro 700,700,sans-serif,-15.483169,10.402944
Source Sans Pro 700italic,700italic,sans-serif,-12.756353,6.800604
