name	variant	category	x	y
Roboto regular	regular	sans-serif	3.613735	5.7054467
Open Sans regular	regular	sans-serif	3.6992795	4.6989045
Lato regular	regular	sans-serif	3.088534	3.904431
Slabo 27px regular	regular	serif	-3.3478293	1.9025905
Roboto Condensed regular	regular	sans-serif	0.7378534	5.322793
Oswald regular	regular	sans-serif	0.20020254	5.5864167
Source Sans Pro regular	regular	sans-serif	3.505061	4.5602293
Montserrat regular	regular	sans-serif	3.7515023	6.473434
Raleway regular	regular	sans-serif	3.3940644	6.7014627
PT Sans regular	regular	sans-serif	2.9866216	5.1232667
Merriweather regular	regular	serif	-3.2494977	2.1170857
Roboto Slab regular	regular	serif	-3.3640301	2.523294
Lora regular	regular	serif	-3.0059252	0.99929106
Droid Sans regular	regular	sans-serif	3.368815	4.421842
Ubuntu regular	regular	sans-serif	2.6487675	5.265482
Droid Serif regular	regular	serif	-3.1733556	2.1401222
Playfair Display regular	regular	serif	-3.3401296	1.0558895
Noto Sans regular	regular	sans-serif	3.7809157	5.9288607
PT Serif regular	regular	serif	-3.587793	1.31652
Arimo regular	regular	sans-serif	3.7458057	5.8006873
Titillium Web regular	regular	sans-serif	3.5296416	4.57957
PT Sans Narrow regular	regular	sans-serif	0.8462071	5.526552
Muli regular	regular	sans-serif	3.704996	6.406316
Poppins regular	regular	sans-serif	3.7653258	6.530985
Indie Flower regular	regular	handwriting	1.8061832	7.8377504
Bitter regular	regular	serif	-3.3358686	2.5727158
Dosis regular	regular	sans-serif	3.2618313	4.7278075
Inconsolata regular	regular	monospace	6.652041	8.836633
Fjalla One regular	regular	sans-serif	0.050168578	5.7163343
Hind regular	regular	sans-serif	4.594463	5.793816
Oxygen regular	regular	sans-serif	4.632039	5.8447456
Anton regular	regular	sans-serif	-0.052244883	5.663704
Noto Serif regular	regular	serif	-3.1966157	2.1011605
Cabin regular	regular	sans-serif	3.1226926	4.0024147
Arvo regular	regular	serif	-2.630184	1.8717685
Libre Baskerville regular	regular	serif	-2.7205784	1.8306175
Nunito regular	regular	sans-serif	2.3768895	6.9218884
Lobster regular	regular	display	-0.53714305	7.2025747
Crimson Text regular	regular	serif	-4.2067337	0.993955
Yanone Kaffeesatz regular	regular	sans-serif	0.564958	6.3966546
Roboto Mono regular	regular	monospace	6.65024	8.834285
Josefin Sans regular	regular	sans-serif	3.3161104	6.49021
Bree Serif regular	regular	serif	-3.3736575	2.908299
Catamaran regular	regular	sans-serif	3.5643315	5.558099
Merriweather Sans regular	regular	sans-serif	3.029956	4.333547
Fira Sans regular	regular	sans-serif	3.1712074	4.3011174
Abril Fatface regular	regular	display	-2.8090117	3.3085659
Exo 2 regular	regular	sans-serif	3.6811295	4.950495
Asap regular	regular	sans-serif	3.3222916	3.9686828
Varela Round regular	regular	sans-serif	2.3331103	6.987767
Abel regular	regular	sans-serif	3.3683445	4.912295
Quicksand regular	regular	sans-serif	3.13286	6.8629293
Gloria Hallelujah regular	regular	handwriting	1.5312486	7.77332
Pacifico regular	regular	handwriting	-1.0116276	8.526797
Rubik regular	regular	sans-serif	3.7690861	6.011762
Karla regular	regular	sans-serif	3.9500117	5.1448007
Ubuntu Condensed regular	regular	sans-serif	0.5275634	5.4881487
Work Sans regular	regular	sans-serif	3.8492136	5.0065317
Cuprum regular	regular	sans-serif	0.61822915	5.4024916
Signika regular	regular	sans-serif	1.9963263	5.3899174
Archivo Narrow regular	regular	sans-serif	0.9120915	5.3018255
Play regular	regular	sans-serif	2.2652323	5.3079915
Questrial regular	regular	sans-serif	3.509154	6.7353215
Shadows Into Light regular	regular	handwriting	1.2112647	7.9695935
Dancing Script regular	regular	handwriting	-0.8216272	8.989242
PT Sans Caption regular	regular	sans-serif	3.0733137	5.6295633
Alegreya regular	regular	serif	-3.0477877	2.138662
Francois One regular	regular	sans-serif	0.22106491	5.4556403
Exo regular	regular	sans-serif	3.6846025	4.9312043
Acme regular	regular	sans-serif	0.39226553	5.079957
EB Garamond regular	regular	serif	-4.232564	0.95368373
Vollkorn regular	regular	serif	-2.8529081	2.2850366
Source Code Pro regular	regular	monospace	6.629907	8.757639
Maven Pro regular	regular	sans-serif	3.5223637	5.933869
Pathway Gothic One regular	regular	sans-serif	0.49788466	6.2634673
Amatic SC regular	regular	handwriting	0.9968991	6.997055
Archivo Black regular	regular	sans-serif	-1.2825269	5.0387015
Rokkitt regular	regular	serif	-2.2179441	2.1686833
Crete Round regular	regular	serif	-3.3944974	2.778353
Libre Franklin regular	regular	sans-serif	3.930157	5.2100496
Ropa Sans regular	regular	sans-serif	0.92832315	5.1430254
Alegreya Sans regular	regular	sans-serif	3.2679353	4.0597563
Patua One regular	regular	display	-3.3332617	2.9617393
Source Serif Pro regular	regular	serif	-2.9916887	1.8758093
Architects Daughter regular	regular	handwriting	2.2514613	7.5823946
Istok Web regular	regular	sans-serif	3.6716857	5.839682
Cinzel regular	regular	serif	-0.83989865	1.8196747
BenchNine regular	regular	sans-serif	0.5960645	6.431472
Comfortaa regular	regular	display	2.87446	6.911165
Satisfy regular	regular	handwriting	-0.94355017	8.663418
Josefin Slab regular	regular	serif	-2.3596985	0.6109851
News Cycle regular	regular	sans-serif	3.4658818	4.695372
Lobster Two regular	regular	display	-0.41661137	7.0072355
Russo One regular	regular	sans-serif	-1.0460514	4.9980493
Passion One regular	regular	display	-0.50215995	5.2204614
Cormorant Garamond regular	regular	serif	-4.116956	0.65748537
Noticia Text regular	regular	serif	-2.0950024	1.2323698
Old Standard TT regular	regular	serif	-2.977642	0.81102204
Hammersmith One regular	regular	sans-serif	0.6515639	4.622424
Quattrocento Sans regular	regular	sans-serif	3.744328	4.856003
ABeeZee regular	regular	sans-serif	3.0690222	5.3801365
Kanit regular	regular	sans-serif	2.3120122	4.9759626
Kaushan Script regular	regular	handwriting	-0.13617854	8.568721
Righteous regular	regular	display	0.03750645	4.5263844
Poiret One regular	regular	display	3.2007492	6.3457355
Gudea regular	regular	sans-serif	3.3652956	5.554029
Sanchez regular	regular	serif	-2.140377	2.1608114
Monda regular	regular	sans-serif	2.5099	5.377791
Quattrocento regular	regular	serif	-2.6091368	0.9372613
Rajdhani regular	regular	sans-serif	3.0198534	6.230165
Courgette regular	regular	handwriting	-0.47654778	8.047336
Khand regular	regular	sans-serif	0.7186919	5.588224
Shrikhand regular	regular	display	-1.4993944	6.674604
Cantarell regular	regular	sans-serif	3.1274586	5.760688
Domine regular	regular	serif	-3.168627	2.0630145
Economica regular	regular	sans-serif	0.6519334	6.28502
Yellowtail regular	regular	handwriting	-1.1826504	8.926372
Philosopher regular	regular	sans-serif	3.8451414	5.2650323
Pontano Sans regular	regular	sans-serif	3.6253598	6.1479826
Yantramanav regular	regular	sans-serif	3.6308055	5.7143397
Permanent Marker regular	regular	handwriting	-1.0274416	7.8445315
Chewy regular	regular	display	-1.0748003	6.92745
Tinos regular	regular	serif	-3.517148	1.1013037
Arapey regular	regular	serif	-3.0469372	0.8030121
Cabin Condensed regular	regular	sans-serif	0.9575399	5.0400257
Cardo regular	regular	serif	-4.228765	0.93607795
Cookie regular	regular	handwriting	-0.70590335	8.545984
Playfair Display SC regular	regular	serif	-0.8611806	1.8320888
Handlee regular	regular	handwriting	1.4063317	7.447144
Alfa Slab One regular	regular	display	-1.7161793	4.337183
Armata regular	regular	sans-serif	2.9146247	5.763686
Audiowide regular	regular	display	1.6246907	4.870681
Kalam regular	regular	handwriting	0.13874082	8.036698
Antic Slab regular	regular	serif	-2.4959528	0.72972316
Teko regular	regular	sans-serif	0.57035714	6.433515
Boogaloo regular	regular	display	0.18975778	5.9729104
Ruda regular	regular	sans-serif	3.1436102	4.6726117
